Epoch 204, Loss: 0.6706, Train Accuracy: 0.5892, Test Accuracy: 0.6800, lr: 0.00193
Epoch 205, Loss: 0.6715, Train Accuracy: 0.5958, Test Accuracy: 0.6800, lr: 0.00191
Epoch 206, Loss: 0.6663, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.00189
Epoch 207, Loss: 0.6671, Train Accuracy: 0.5875, Test Accuracy: 0.6933, lr: 0.0018700000000000001
Epoch 208, Loss: 0.6681, Train Accuracy: 0.5958, Test Accuracy: 0.6933, lr: 0.00185
Epoch 209, Loss: 0.6680, Train Accuracy: 0.5900, Test Accuracy: 0.7133, lr: 0.00183
Epoch 210, Loss: 0.6712, Train Accuracy: 0.5925, Test Accuracy: 0.7333, lr: 0.0018100000000000002
Epoch 211, Loss: 0.6695, Train Accuracy: 0.5950, Test Accuracy: 0.6800, lr: 0.0017900000000000001
Epoch 212, Loss: 0.6677, Train Accuracy: 0.5917, Test Accuracy: 0.6800, lr: 0.00177
Epoch 213, Loss: 0.6674, Train Accuracy: 0.5908, Test Accuracy: 0.6933, lr: 0.00175
Epoch 214, Loss: 0.6684, Train Accuracy: 0.5925, Test Accuracy: 0.6800, lr: 0.00173
Epoch 215, Loss: 0.6685, Train Accuracy: 0.5942, Test Accuracy: 0.6800, lr: 0.00171
Epoch 216, Loss: 0.6686, Train Accuracy: 0.5933, Test Accuracy: 0.6867, lr: 0.0016899999999999999
Epoch 217, Loss: 0.6676, Train Accuracy: 0.5917, Test Accuracy: 0.6933, lr: 0.00167
Epoch 218, Loss: 0.6682, Train Accuracy: 0.5925, Test Accuracy: 0.6933, lr: 0.00165
Epoch 219, Loss: 0.6681, Train Accuracy: 0.5983, Test Accuracy: 0.6800, lr: 0.00163
Epoch 220, Loss: 0.6655, Train Accuracy: 0.5950, Test Accuracy: 0.7200, lr: 0.0016099999999999999
Epoch 221, Loss: 0.6672, Train Accuracy: 0.5967, Test Accuracy: 0.6933, lr: 0.00159
Epoch 222, Loss: 0.6675, Train Accuracy: 0.5967, Test Accuracy: 0.6933, lr: 0.00157
Epoch 223, Loss: 0.6678, Train Accuracy: 0.5975, Test Accuracy: 0.7400, lr: 0.0015500000000000002
Epoch 224, Loss: 0.6697, Train Accuracy: 0.5958, Test Accuracy: 0.7000, lr: 0.0015300000000000001
Epoch 225, Loss: 0.6657, Train Accuracy: 0.6025, Test Accuracy: 0.6800, lr: 0.00151
Epoch 226, Loss: 0.6715, Train Accuracy: 0.5950, Test Accuracy: 0.7133, lr: 0.00149
Epoch 227, Loss: 0.6685, Train Accuracy: 0.6017, Test Accuracy: 0.6933, lr: 0.00147
Epoch 228, Loss: 0.6691, Train Accuracy: 0.5975, Test Accuracy: 0.7067, lr: 0.00145
Epoch 229, Loss: 0.6687, Train Accuracy: 0.6033, Test Accuracy: 0.6933, lr: 0.0014300000000000003
Epoch 230, Loss: 0.6686, Train Accuracy: 0.5925, Test Accuracy: 0.6933, lr: 0.0014100000000000002
Epoch 231, Loss: 0.6703, Train Accuracy: 0.6025, Test Accuracy: 0.7200, lr: 0.0013900000000000002
Epoch 232, Loss: 0.6700, Train Accuracy: 0.6067, Test Accuracy: 0.6867, lr: 0.0013700000000000001
Epoch 233, Loss: 0.6673, Train Accuracy: 0.6025, Test Accuracy: 0.6867, lr: 0.00135
Epoch 234, Loss: 0.6679, Train Accuracy: 0.5967, Test Accuracy: 0.6933, lr: 0.00133
Epoch 235, Loss: 0.6692, Train Accuracy: 0.5950, Test Accuracy: 0.7200, lr: 0.0013100000000000002
Epoch 236, Loss: 0.6665, Train Accuracy: 0.5967, Test Accuracy: 0.6933, lr: 0.0012900000000000001
Epoch 237, Loss: 0.6662, Train Accuracy: 0.5933, Test Accuracy: 0.7067, lr: 0.00127
Epoch 238, Loss: 0.6644, Train Accuracy: 0.6017, Test Accuracy: 0.6933, lr: 0.00125
Epoch 239, Loss: 0.6671, Train Accuracy: 0.6025, Test Accuracy: 0.7267, lr: 0.00123
Epoch 240, Loss: 0.6676, Train Accuracy: 0.5975, Test Accuracy: 0.7067, lr: 0.00121
Epoch 241, Loss: 0.6676, Train Accuracy: 0.5992, Test Accuracy: 0.7067, lr: 0.0011899999999999999
Epoch 242, Loss: 0.6658, Train Accuracy: 0.6058, Test Accuracy: 0.7067, lr: 0.00117
Epoch 243, Loss: 0.6685, Train Accuracy: 0.6000, Test Accuracy: 0.7067, lr: 0.00115
Epoch 244, Loss: 0.6666, Train Accuracy: 0.5967, Test Accuracy: 0.7067, lr: 0.00113
Epoch 245, Loss: 0.6658, Train Accuracy: 0.5975, Test Accuracy: 0.7067, lr: 0.0011099999999999999
Epoch 246, Loss: 0.6666, Train Accuracy: 0.5992, Test Accuracy: 0.7067, lr: 0.0010899999999999998
Epoch 247, Loss: 0.6680, Train Accuracy: 0.6058, Test Accuracy: 0.6933, lr: 0.0010699999999999998
Epoch 248, Loss: 0.6659, Train Accuracy: 0.5983, Test Accuracy: 0.6933, lr: 0.0010500000000000002
Epoch 249, Loss: 0.6651, Train Accuracy: 0.6067, Test Accuracy: 0.6933, lr: 0.00103
Epoch 250, Loss: 0.6654, Train Accuracy: 0.6008, Test Accuracy: 0.7133, lr: 0.00101
Epoch 251, Loss: 0.6666, Train Accuracy: 0.6017, Test Accuracy: 0.7133, lr: 0.00099
Epoch 252, Loss: 0.6664, Train Accuracy: 0.5967, Test Accuracy: 0.7067, lr: 0.0009699999999999999
