Epoch 265, Loss: 0.6677, Accuracy: 0.6042, lr: 0.0005384615384615385
Epoch 266, Loss: 0.6683, Accuracy: 0.6100, lr: 0.000523076923076923
Epoch 267, Loss: 0.6667, Accuracy: 0.6025, lr: 0.0005076923076923076
Epoch 268, Loss: 0.6662, Accuracy: 0.6117, lr: 0.0004923076923076924
Epoch 269, Loss: 0.6665, Accuracy: 0.6008, lr: 0.00047692307692307704
Epoch 270, Loss: 0.6667, Accuracy: 0.6092, lr: 0.0004615384615384615
Epoch 271, Loss: 0.6662, Accuracy: 0.6000, lr: 0.0004461538461538461
Epoch 272, Loss: 0.6655, Accuracy: 0.6083, lr: 0.00043076923076923083
Epoch 273, Loss: 0.6662, Accuracy: 0.6042, lr: 0.0004153846153846155
Epoch 274, Loss: 0.6680, Accuracy: 0.6042, lr: 0.0003999999999999999
Epoch 275, Loss: 0.6665, Accuracy: 0.6042, lr: 0.0003846153846153846
Epoch 276, Loss: 0.6666, Accuracy: 0.6083, lr: 0.00036923076923076927
Epoch 277, Loss: 0.6665, Accuracy: 0.6067, lr: 0.0003538461538461539
Epoch 278, Loss: 0.6666, Accuracy: 0.6100, lr: 0.0003384615384615384
Epoch 279, Loss: 0.6660, Accuracy: 0.6083, lr: 0.00032307692307692305
Epoch 280, Loss: 0.6679, Accuracy: 0.6017, lr: 0.0003076923076923077
Epoch 281, Loss: 0.6651, Accuracy: 0.6083, lr: 0.0002923076923076924
Epoch 282, Loss: 0.6662, Accuracy: 0.6092, lr: 0.00027692307692307684
Epoch 283, Loss: 0.6661, Accuracy: 0.6050, lr: 0.0002615384615384615
Epoch 284, Loss: 0.6654, Accuracy: 0.6125, lr: 0.0002461538461538462
Epoch 285, Loss: 0.6654, Accuracy: 0.6067, lr: 0.00023076923076923084
Epoch 286, Loss: 0.6666, Accuracy: 0.6067, lr: 0.00021538461538461528
Epoch 287, Loss: 0.6657, Accuracy: 0.6067, lr: 0.00019999999999999996
Epoch 288, Loss: 0.6669, Accuracy: 0.6042, lr: 0.00018461538461538463
Epoch 289, Loss: 0.6659, Accuracy: 0.6067, lr: 0.0001692307692307693
Epoch 290, Loss: 0.6659, Accuracy: 0.6150, lr: 0.00015384615384615374
Epoch 291, Loss: 0.6652, Accuracy: 0.6067, lr: 0.00013846153846153842
Epoch 292, Loss: 0.6673, Accuracy: 0.6050, lr: 0.0001230769230769231
Epoch 293, Loss: 0.6656, Accuracy: 0.6075, lr: 0.00010769230769230776
Epoch 294, Loss: 0.6654, Accuracy: 0.6092, lr: 9.230769230769221e-05
Epoch 295, Loss: 0.6647, Accuracy: 0.6075, lr: 7.692307692307687e-05
Epoch 296, Loss: 0.6647, Accuracy: 0.6092, lr: 6.153846153846155e-05
Epoch 297, Loss: 0.6652, Accuracy: 0.6083, lr: 4.615384615384621e-05
Epoch 298, Loss: 0.6660, Accuracy: 0.6092, lr: 3.076923076923066e-05
Epoch 299, Loss: 0.6663, Accuracy: 0.6067, lr: 1.538461538461533e-05
Epoch 300, Loss: 0.6668, Accuracy: 0.6075, lr: 0.0
Epoch 301, Loss: 0.6656, Accuracy: 0.6075, lr: 0.0
Epoch 302, Loss: 0.6656, Accuracy: 0.6075, lr: 0.0
Epoch 303, Loss: 0.6650, Accuracy: 0.6075, lr: 0.0
Epoch 304, Loss: 0.6656, Accuracy: 0.6075, lr: 0.0
Epoch 305, Loss: 0.6644, Accuracy: 0.6075, lr: 0.0
Epoch 306, Loss: 0.6665, Accuracy: 0.6075, lr: 0.0
Epoch 307, Loss: 0.6661, Accuracy: 0.6075, lr: 0.0
Epoch 308, Loss: 0.6653, Accuracy: 0.6075, lr: 0.0
Epoch 309, Loss: 0.6650, Accuracy: 0.6075, lr: 0.0
Epoch 310, Loss: 0.6653, Accuracy: 0.6075, lr: 0.0
Epoch 311, Loss: 0.6657, Accuracy: 0.6075, lr: 0.0
Epoch 312, Loss: 0.6666, Accuracy: 0.6075, lr: 0.0
Epoch 313, Loss: 0.6653, Accuracy: 0.6075, lr: 0.0
Epoch 314, Loss: 0.6653, Accuracy: 0.6075, lr: 0.0
Epoch 315, Loss: 0.6660, Accuracy: 0.6075, lr: 0.0
